games_played,elapsed_time,games_per_sec,avg_score,recent_avg_score,recent_std_score,win_rate,recent_win_rate,avg_loss,recent_loss,epsilon,empty_board_value,embedding_mean,embedding_std,embedding_norm,max_tile_512,max_tile_256,max_tile_128
4400,464.9746379852295,9.462881715582457,377.2661513858108,375.6279504889595,133.1315211226716,0.0,0.0,8.24839137467471,8.31154736995697,0.08434,3.676807165145874,0.018182305619120598,0.948495626449585,30.342618942260742,10,319,519
4500,475.44716691970825,9.464774033998909,377.18990422995563,376.50290112963154,134.18105465441832,0.0,0.0,8.253317965401543,8.328958625793456,0.08398,3.680124521255493,0.018188435584306717,0.9484953880310059,30.342613220214844,10,323,513
4600,485.9951331615448,9.46511536046794,377.24021751726707,376.3269189841472,135.2292189100275,0.0,0.0,8.256607958544855,8.32364827632904,0.08362,3.69358229637146,0.01819443702697754,0.9484953284263611,30.342615127563477,13,310,527
4700,496.9970541000366,9.456796496532098,377.6138047553122,378.75574819986673,138.83752996676395,0.0,0.0,8.256736664061851,8.308416981697082,0.08326,3.740017890930176,0.01820046454668045,0.9484954476356506,30.34262466430664,18,313,519
4800,507.3044819831848,9.461773294877181,377.43421551660253,376.17571225049403,136.4347087661464,0.0,0.0,8.262291589379311,8.320384736061095,0.0829,3.7814688682556152,0.018206745386123657,0.9484953880310059,30.34262466430664,16,302,528
4900,518.1435208320618,9.456839279069486,377.7169311494888,377.556102479933,137.4308136518942,0.0,0.0,8.272564226267288,8.35495394706726,0.08254,3.850172519683838,0.018213022500276566,0.9484949707984924,30.342615127563477,17,306,524
5000,528.785120010376,9.455636724236658,377.74931312408063,377.3023761029181,136.27023647894208,0.0,0.0,8.270261585235597,8.35477705001831,0.08218,3.8885715007781982,0.01821918413043022,0.948494553565979,30.342605590820312,16,313,518
5100,539.4498410224915,9.454076379619073,377.8456217392109,378.7243137278574,133.00001868906202,0.0,0.0,8.274406506968479,8.403508439064026,0.08182,3.8965659141540527,0.01822548732161522,0.9484942555427551,30.342599868774414,14,321,519
5200,549.656387090683,9.46045588139795,377.4610971515512,377.9328294897722,133.18414457265405,0.0,0.0,8.277532628866343,8.411380443572998,0.08146,3.9583215713500977,0.018231544643640518,0.9484943151473999,30.342607498168945,14,317,522
5300,559.5675129890442,9.471600614712186,376.8247085182055,373.7935656063198,130.3188887962029,0.0,0.0,8.28105179318842,8.403227939605713,0.0811,3.969754219055176,0.018237490206956863,0.9484944343566895,30.342615127563477,12,302,542
5400,570.8376359939575,9.459782711413864,377.2749194407235,377.3134988823393,130.29511820878704,0.0,0.0,8.285926906267802,8.451083245277404,0.08074,4.0472564697265625,0.01824338361620903,0.9484948515892029,30.342632293701172,13,312,537
5500,581.508759021759,9.458155040093214,377.3393539205724,378.011877528348,130.4020533785488,0.0,0.0,8.301678556095471,8.519301214218139,0.08038000000000001,4.036692142486572,0.01824916899204254,0.9484953880310059,30.3426513671875,15,308,543
5600,591.9681041240692,9.45996914527393,377.259478581503,377.3480794769884,131.93252337243186,0.0,0.0,8.298715163980212,8.49240830898285,0.08002000000000001,4.077883720397949,0.018255135044455528,0.9484957456588745,30.342666625976562,14,314,531
5700,602.0515360832214,9.46762803244819,376.9368825429923,373.75534814508933,128.44287514630128,0.0,0.0,8.297559361708792,8.489426040649414,0.07966000000000001,4.1025495529174805,0.018260996788740158,0.9484958052635193,30.34267234802246,9,308,542
5800,612.6592428684235,9.466926464448404,376.97279091376345,374.7579528201361,128.2805683212772,0.0,0.0,8.30247585773468,8.495360345840455,0.07930000000000001,4.1281867027282715,0.018266713246703148,0.9484960436820984,30.342681884765625,9,313,539
5900,622.9038209915161,9.47176723143003,376.7624867328534,372.08570909134005,127.59942115968124,0.0,0.0,8.300679563263715,8.438444714546204,0.07894000000000001,4.171173095703125,0.018272608518600464,0.9484961032867432,30.342687606811523,9,299,549
6000,633.9614598751068,9.464297721161198,377.10283567916946,373.8704484546139,128.90977344397723,0.0,0.0,8.304951973756154,8.478403916358948,0.07858000000000001,4.202272891998291,0.018278561532497406,0.9484962821006775,30.34269905090332,10,293,562
6100,644.5487520694733,9.46398543231142,377.06684449481867,373.09508054841905,130.97796905121052,0.0,0.0,8.306230893682262,8.468535265922547,0.07822000000000001,4.179208278656006,0.018284417688846588,0.9484966993331909,30.342714309692383,12,282,568
6200,655.1506659984589,9.463472025249509,377.0760189556694,375.0736123370839,132.4900608130168,0.0,0.0,8.313403978655415,8.499934997558594,0.07786,4.2545037269592285,0.01829017885029316,0.9484970569610596,30.342729568481445,12,291,558
6300,665.502986907959,9.466524003552381,376.93427689495627,377.51498929173545,133.74493539038207,0.0,0.0,8.309837856746855,8.462403993606568,0.0775,4.276458740234375,0.01829582080245018,0.9484972953796387,30.342741012573242,13,297,550
6400,676.5212461948395,9.460161134624274,377.16428371171133,376.5668507750455,133.882339510613,0.0,0.0,8.298962122946978,8.369352293014526,0.07714,4.30687141418457,0.01830146461725235,0.9484975934028625,30.34275245666504,12,292,547
6500,687.0655148029327,9.460524302204805,377.1235177517061,375.93641882294133,132.22903147416446,0.0,0.0,8.307632347253653,8.340378198623657,0.07678,4.345071792602539,0.018307119607925415,0.9484979510307312,30.342771530151367,10,292,549
6600,697.6221990585327,9.460708115233356,377.0883574116718,376.13007886061666,129.76242586952952,0.0,0.0,8.305901913209395,8.346147708892822,0.07642,4.3595662117004395,0.018312737345695496,0.9484983086585999,30.342784881591797,9,288,558
6700,708.2313709259033,9.460185294024441,377.08118295250097,377.90369528670027,131.37212257047224,0.0,0.0,8.310538152438491,8.384517259597779,0.07606,4.354315757751465,0.018318166956305504,0.9484987854957581,30.342802047729492,10,296,544
6800,718.8439221382141,9.459633434436336,377.06690558426953,377.61277067320447,130.96576632871532,0.0,0.0,8.308783637074864,8.345368757247925,0.0757,4.398520469665527,0.018323415890336037,0.9484993815422058,30.342824935913086,10,298,544
6900,729.259370803833,9.46165421555627,376.94596410895986,378.0284806279877,132.72012001445214,0.0,0.0,8.312783673189688,8.38419792175293,0.07534,4.410420894622803,0.01832873560488224,0.9485001564025879,30.342853546142578,10,305,532
7000,739.6396870613098,9.464067602716078,376.8237811419127,375.1494539183718,131.11211743259727,0.0,0.0,8.316615892818996,8.386599407196044,0.07498,4.408863544464111,0.018334178254008293,0.9485005736351013,30.34286880493164,8,303,527
7100,750.3470129966736,9.462288617162091,376.7590328294494,374.88138167069616,131.14546232303354,0.0,0.0,8.31246374157113,8.350484113693238,0.07462,4.455544471740723,0.018339768052101135,0.9485006332397461,30.342876434326172,7,304,522
7200,761.4651939868927,9.455455163094342,376.74590277010105,374.69918241957754,130.47348256956553,0.0,0.0,8.313615620136261,8.314927797317505,0.07426,4.499490737915039,0.018345410004258156,0.9485006928443909,30.342880249023438,8,298,526
7300,772.2908170223236,9.452397774385279,376.6603155514337,374.93435908724194,132.2602178474228,0.0,0.0,8.309506268044041,8.307417259216308,0.07390000000000001,4.51737117767334,0.018351025879383087,0.94850093126297,30.342891693115234,7,302,519
7400,783.1503038406372,9.449016317442203,376.7749274081555,374.28304706539836,131.72022979293862,0.0,0.0,8.304619281356398,8.340825095176697,0.07354000000000001,4.513571739196777,0.018356550484895706,0.9485012292861938,30.342905044555664,8,305,514
7500,793.6751389503479,9.449710129410011,376.73972338345806,374.24505998984563,132.78451767933362,0.0,0.0,8.306442216237386,8.298706364631652,0.07318,4.552515506744385,0.018361911177635193,0.9485018849372864,30.34292984008789,8,306,508
7600,804.3786330223083,9.448286774406679,376.7973909450679,374.8770122654827,133.18134778780433,0.0,0.0,8.310481655597687,8.340707955360413,0.07282,4.558409690856934,0.018367066979408264,0.9485025405883789,30.342952728271484,8,308,507
7700,815.1572289466858,9.446030442433342,376.8956589474691,375.6526481137555,134.73959949309642,0.0,0.0,8.309064812474437,8.29919343471527,0.07246,4.601337432861328,0.01837223209440708,0.9485031366348267,30.342975616455078,9,303,511
7800,825.8387320041656,9.444943301546017,376.90980040044235,375.84148515041755,134.84572255931758,0.0,0.0,8.314087605476379,8.350154590606689,0.0721,4.609726428985596,0.018377456814050674,0.9485036730766296,30.34299659729004,9,298,512
7900,836.4308679103851,9.444892941046268,376.871534070041,376.3579668015006,131.4843110571038,0.0,0.0,8.314493300643148,8.326289730072022,0.07174,4.655092716217041,0.01838253065943718,0.9485042691230774,30.343019485473633,8,306,509
8000,846.908951997757,9.446115761474662,376.76955319929874,376.38995760100113,131.39987411395455,0.0,0.0,8.316477652788162,8.315509972572327,0.07138,4.650990009307861,0.018387528136372566,0.9485048055648804,30.343040466308594,8,306,507
8100,857.1129488945007,9.45032974994408,376.53939755629665,374.97998711691235,130.51598202315913,0.0,0.0,8.317547001662078,8.3536381483078,0.07102,4.664172172546387,0.018392479047179222,0.9485052227973938,30.34305763244629,8,299,510
8200,868.2233598232269,9.444574264472159,376.75842548230776,376.8485890101958,131.7138322911101,0.0,0.0,8.317916552613422,8.348883266448974,0.07066,4.66215181350708,0.018397336825728416,0.9485056400299072,30.34307289123535,9,308,506
8300,879.5241599082947,9.436920983347877,377.08433936805443,380.1797132293854,132.6171137921199,0.0,0.0,8.31933567667582,8.391090359687805,0.0703,4.669280052185059,0.01840215176343918,0.9485060572624207,30.343088150024414,9,315,505
8400,890.1831650733948,9.436260232249424,377.07466257933436,379.29270284605786,133.8715036912582,0.0,0.0,8.32242694752557,8.454203677177428,0.06994,4.7130045890808105,0.018406957387924194,0.9485065937042236,30.343111038208008,9,308,508
8500,901.0203700065613,9.433748983874917,377.15176928939445,380.2421135839177,135.379949879901,0.0,0.0,8.32029455128838,8.424187064170837,0.06958,4.741565704345703,0.018411673605442047,0.9485072493553162,30.34313201904297,10,306,511
8600,911.9363989830017,9.430482223969548,377.2847909152267,380.989030688434,135.70233333732878,0.0,0.0,8.319983287190283,8.392195687294006,0.06922,4.733519077301025,0.018416408449411392,0.9485079050064087,30.343156814575195,10,310,502
8700,923.3157858848572,9.422561742148034,377.5906786795973,382.9423306169845,134.39302474647207,0.0,0.0,8.315799588170545,8.367657361030579,0.06886,4.773673057556152,0.018421195447444916,0.9485084414482117,30.343175888061523,9,321,497
8800,934.5506191253662,9.416290375192096,377.84633325417906,385.15128951332554,136.2858967923668,0.0,0.0,8.314303048090501,8.315983500480652,0.0685,4.792099952697754,0.018426036462187767,0.9485089182853699,30.34319496154785,10,325,497
8900,944.7460629940033,9.420520866522512,377.6163668579168,383.5005458821353,137.48012998621925,0.0,0.0,8.314099581857745,8.310989203453063,0.06814,4.792294979095459,0.01843089796602726,0.9485092759132385,30.343210220336914,10,313,503
9000,955.4888019561768,9.419262665950933,377.6447078761281,384.64594529076305,140.05855981788906,0.0,0.0,8.315255943404305,8.305482268333435,0.06778,4.827239513397217,0.018435757607221603,0.9485096335411072,30.343223571777344,12,313,501
9100,966.4453330039978,9.41594903429717,377.7608594138592,387.6547004601157,138.3165978813634,0.0,0.0,8.318375875137665,8.325089750289917,0.06742000000000001,4.824566841125488,0.018440525978803635,0.9485101699829102,30.343242645263672,12,321,510
9200,977.41268491745,9.412605485856787,377.8829238433301,387.10381040371317,137.3151102430293,0.0,0.0,8.312128216805666,8.264663863182069,0.06706000000000001,4.828243732452393,0.018445221707224846,0.9485107064247131,30.34326171875,11,321,508
9300,988.5493998527527,9.407724086813731,378.0032555312101,385.63025968540217,136.12031201708214,0.0,0.0,8.311537891818631,8.246816277503967,0.06670000000000001,4.860424518585205,0.01844976283609867,0.9485111832618713,30.343280792236328,13,312,517
9400,999.7537870407104,9.402314971793377,378.1894366979643,387.55353929445573,136.2263565545007,0.0,0.0,8.310273326204179,8.208182907104492,0.06634000000000001,4.851598739624023,0.018454214558005333,0.9485117197036743,30.343299865722656,12,320,515
9500,1010.391891002655,9.40229240218144,378.1608592927004,386.73812432080115,136.19698196019272,0.0,0.0,8.310904111862182,8.231085376739502,0.06598000000000001,4.875918388366699,0.018458642065525055,0.9485121965408325,30.343318939208984,12,318,514
9600,1021.9412698745728,9.393886207549137,378.45895129556925,388.5567305665142,136.58946523756882,0.0,0.0,8.314259966214498,8.265039405822755,0.06562,4.887634754180908,0.018463104963302612,0.9485124349594116,30.34333038330078,13,322,517
9700,1032.8074369430542,9.391876600647317,378.50882724741956,386.49671978747284,137.9016763597279,0.0,0.0,8.315903153861921,8.316804175376893,0.06526,4.905963897705078,0.018467597663402557,0.9485126733779907,30.343338012695312,13,310,520
9800,1043.264254808426,9.393593190633728,378.4002866323153,383.275076359914,136.0797083625604,0.0,0.0,8.319126142287741,8.36156937122345,0.0649,4.926018238067627,0.01847214438021183,0.9485129117965698,30.34334945678711,12,301,523
9900,1054.2657477855682,9.390421742140868,378.5538496455489,386.8974464554754,139.06145402363316,0.0,0.0,8.318645081857237,8.359100031852723,0.06454,4.908319473266602,0.018476568162441254,0.9485132098197937,30.343360900878906,13,313,514
10000,1065.6850430965424,9.383635497917073,378.8191702946092,389.3893320609387,138.79985493370532,0.0,0.0,8.319352724552154,8.356223754882812,0.06418,4.906233310699463,0.01848086342215538,0.9485134482383728,30.343374252319336,15,316,513
